Name,Shape,Level,School,Effect
Dazzling Defense Onyx +57,Square,135,Any,+57 Death Flat Resistance
Dazzling Defense Jade +60,Square,135,Any,+60 Life Flat Resistance
Dazzling Defense Jade +59,Square,135,Any,+59 Life Flat Resistance
Dazzling Defense Jade +58,Square,135,Any,+58 Life Flat Resistance
Dazzling Defense Jade +57,Square,135,Any,+57 Life Flat Resistance
Dazzling Defense Hematite +60,Square,135,Any,+60 Shadow Flat Resistance
Dazzling Defense Hematite +59,Square,135,Any,+59 Shadow Flat Resistance
Dazzling Defense Hematite +58,Square,135,Any,+58 Shadow Flat Resistance
Dazzling Defense Hematite +57,Square,135,Any,+57 Shadow Flat Resistance
Dazzling Defense Citrine +60,Square,135,Any,+60 Balance Flat Resistance
Dazzling Defense Citrine +59,Square,135,Any,+59 Balance Flat Resistance
Dazzling Defense Citrine +58,Square,135,Any,+58 Balance Flat Resistance
Dazzling Defense Citrine +57,Square,135,Any,+57 Balance Flat Resistance
Dazzling Defense Amethyst +60,Square,135,Any,+60 Storm Flat Resistance
Dazzling Defense Amethyst +59,Square,135,Any,+59 Storm Flat Resistance
Dazzling Defense Amethyst +58,Square,135,Any,+58 Storm Flat Resistance
Dazzling Defense Amethyst +57,Square,135,Any,+57 Storm Flat Resistance
Dazzling Damage Sapphire +30,Circle,135,Any,+30 Ice Flat Damage
Dazzling Damage Sapphire +29,Circle,135,Any,+29 Ice Flat Damage
Dazzling Damage Ruby +30,Circle,135,Any,+30 Fire Flat Damage
Dazzling Damage Ruby +29,Circle,135,Any,+29 Fire Flat Damage
Dazzling Damage Peridot +30,Circle,135,Any,+30 Myth Flat Damage
Dazzling Damage Peridot +29,Circle,135,Any,+29 Myth Flat Damage
Dazzling Damage Opal +15,Circle,135,Any,+15 Global Flat Damage
Dazzling Damage Opal +13,Circle,135,Any,+13 Global Flat Damage
Dazzling Damage Onyx +30,Circle,135,Any,+30 Death Flat Damage
Dazzling Damage Onyx +29,Circle,135,Any,+29 Death Flat Damage
Dazzling Damage Jade +30,Circle,135,Any,+30 Life Flat Damage
Dazzling Damage Jade +29,Circle,135,Any,+29 Life Flat Damage
Dazzling Damage Hematite +60,Circle,135,Any,+60 Shadow Flat Damage
Dazzling Damage Hematite +58,Circle,135,Any,+58 Shadow Flat Damage
Dazzling Damage Citrine +30,Circle,135,Any,+30 Balance Flat Damage
Dazzling Damage Citrine +29,Circle,135,Any,+29 Balance Flat Damage
Dazzling Damage Amethyst +30,Circle,135,Any,+30 Storm Flat Damage
Dazzling Damage Amethyst +29,Circle,135,Any,+29 Storm Flat Damage
Dazzling Critical Sapphire +20,Circle,135,Any,+20 Ice Critical Rating
Dazzling Critical Sapphire +19,Circle,135,Any,+19 Ice Critical Rating
Dazzling Critical Ruby +20,Circle,135,Any,+20 Fire Critical Rating
Dazzling Critical Ruby +19,Circle,135,Any,+19 Fire Critical Rating
Dazzling Critical Peridot +20,Circle,135,Any,+20 Myth Critical Rating
Dazzling Critical Peridot +19,Circle,135,Any,+19 Myth Critical Rating
Dazzling Critical Opal +10,Circle,135,Any,+10 Global Critical Rating
Dazzling Critical Onyx +20,Circle,135,Any,+20 Death Critical Rating
Dazzling Critical Onyx +19,Circle,135,Any,+19 Death Critical Rating
Dazzling Critical Jade +20,Circle,135,Any,+20 Life Critical Rating
Dazzling Critical Jade +19,Circle,135,Any,+19 Life Critical Rating
Dazzling Critical Hematite +20,Circle,135,Any,+20 Shadow Critical Rating
Dazzling Critical Hematite +19,Circle,135,Any,+19 Shadow Critical Rating
Dazzling Critical Citrine +20,Circle,135,Any,+20 Balance Critical Rating
Dazzling Critical Citrine +19,Circle,135,Any,+19 Balance Critical Rating
Dazzling Critical Amethyst +20,Circle,135,Any,+20 Storm Critical Rating
Dazzling Critical Amethyst +19,Circle,135,Any,+19 Storm Critical Rating
Dazzling Blocking Sapphire +20,Square,135,Any,+20 Ice Critical Block Rating
Dazzling Blocking Sapphire +19,Square,135,Any,+19 Ice Critical Block Rating
Dazzling Blocking Ruby +20,Square,135,Any,+20 Fire Critical Block Rating
Dazzling Blocking Ruby +19,Circle,135,Any,+19 Fire Critical Block Rating
Dazzling Blocking Peridot +20,Square,135,Any,+20 Myth Critical Block Rating
Dazzling Blocking Peridot +19,Square,135,Any,+19 Myth Critical Block Rating
Dazzling Blocking Opal +10,Square,135,Any,+10 Global Critical Block Rating
Dazzling Blocking Onyx +20,Square,135,Any,+20 Death Critical Block Rating
Dazzling Blocking Onyx +19,Square,135,Any,+19 Death Critical Block Rating
Dazzling Blocking Jade +20,Square,135,Any,+20 Life Critical Block Rating
Dazzling Blocking Jade +19,Circle,135,Any,+19 Life Critical Block Rating
Dazzling Blocking Hematite +20,Square,135,Any,+20 Shadow Critical Block Rating
Dazzling Blocking Hematite +19,Square,135,Any,+19 Shadow Critical Block Rating
Dazzling Blocking Citrine +20,Square,135,Any,+20 Balance Critical Block Rating
Dazzling Blocking Citrine +19,Square,135,Any,+19 Balance Critical Block Rating
Dazzling Blocking Amethyst +20,Square,135,Any,+20 Storm Critical Block Rating
Dazzling Blocking Amethyst +19,Square,135,Any,+19 Storm Critical Block Rating
Dazzling Archmastery Opal +13 (Tear),Tear,135,Any,+13 Archmastery Rating
Dazzling Archmastery Opal +13 (Square),Square,135,Any,+13 Archmastery Rating
Dazzling Accurate Sapphire +14%,Triangle,135,Any,+14 Ice Accuracy
Dazzling Accurate Ruby +14%,Triangle,135,Any,+14 Fire Accuracy
Dazzling Accurate Peridot +14%,Triangle,135,Any,+14 Myth Accuracy
Dazzling Accurate Opal +7%,Triangle,135,Any,+7 Global Accuracy
Dazzling Accurate Onyx +14%,Triangle,135,Any,+14 Death Accuracy
Dazzling Accurate Jade +14%,Triangle,135,Any,+14 Life Accuracy
Dazzling Accurate Hematite +14%,Triangle,135,Any,+14 Shadow Accuracy
Dazzling Accurate Citrine +14%,Triangle,135,Any,+14 Balance Accuracy
Dazzling Accurate Amethyst +14%,Triangle,135,Any,+14 Storm Accuracy
Catalan Amethyst,Triangle,135,Any,Gives 1 Catalan Item Card
Sparkling PIP Hematite +2,Triangle,125,Any,+2 Shadow Pip Rating
Sparkling Mana Opal +52,Tear,125,Any,+52 Mana
Sparkling Mana Opal +51,Tear,125,Any,+51 Mana
Sparkling Mana Opal +50,Tear,125,Any,+50 Mana
Sparkling Mana Opal +49,Tear,125,Any,+49 Mana
Sparkling Health Opal +125,Tear,125,Any,+125 Health
Sparkling Health Opal +124,Tear,125,Any,+124 Health
Sparkling Health Opal +123,Tear,125,Any,+123 Health
Sparkling Health Opal +122,Tear,125,Any,+122 Health
Sparkling Health Opal +121,Tear,125,Any,+121 Health
Sparkling Health Opal +120,Tear,125,Any,+120 Health
Sparkling Health Opal +119,Tear,125,Any,+119 Health
Sparkling Health Opal +118,Tear,125,Any,+118 Health
Sparkling Health Opal +117,Tear,125,Any,+117 Health
Sparkling Health Opal +116,Tear,125,Any,+116 Health
Sparkling Defense Sapphire +56,Square,125,Any,+56 Ice Flat Resistance
Sparkling Defense Sapphire +55,Square,125,Any,+55 Ice Flat Resistance
Sparkling Defense Sapphire +54,Square,125,Any,+54 Ice Flat Resistance
Sparkling Defense Sapphire +53,Square,125,Any,+53 Ice Flat Resistance
Sparkling Defense Ruby +56,Square,125,Any,+56 Fire Flat Resistance
Sparkling Defense Ruby +55,Square,125,Any,+55 Fire Flat Resistance
Sparkling Defense Ruby +54,Square,125,Any,+54 Fire Flat Resistance
Sparkling Defense Ruby +53,Square,125,Any,+53 Fire Flat Resistance
Sparkling Defense Peridot +56,Square,125,Any,+56 Myth Flat Resistance
Sparkling Defense Peridot +55,Square,125,Any,+55 Myth Flat Resistance
Sparkling Defense Peridot +54,Square,125,Any,+54 Myth Flat Resistance
Sparkling Defense Peridot +53,Square,125,Any,+53 Myth Flat Resistance
Sparkling Defense Opal +28,Square,125,Any,+28 Global Flat Resistance
Sparkling Defense Opal +27,Square,125,Any,+27 Global Flat Resistance
Sparkling Defense Onyx +56,Square,125,Any,+56 Death Flat Resistance
Sparkling Defense Onyx +55,Square,125,Any,+55 Death Flat Resistance
Sparkling Defense Onyx +54,Square,125,Any,+54 Death Flat Resistance
Sparkling Defense Onyx +53,Square,125,Any,+53 Death Flat Resistance
Sparkling Defense Jade +56,Square,125,Any,+56 Life Flat Resistance
Sparkling Defense Jade +55,Square,125,Any,+55 Life Flat Resistance
Sparkling Defense Jade +54,Square,125,Any,+54 Life Flat Resistance
Sparkling Defense Jade +53,Square,125,Any,+53 Life Flat Resistance
Sparkling Defense Hematite +56,Square,125,Any,+56 Shadow Flat Resistance
Sparkling Defense Hematite +55,Square,125,Any,+55 Shadow Flat Resistance
Sparkling Defense Hematite +54,Square,125,Any,+54 Shadow Flat Resistance
Sparkling Defense Hematite +53,Square,125,Any,+53 Shadow Flat Resistance
Sparkling Defense Citrine +56,Square,125,Any,+56 Balance Flat Resistance
Sparkling Defense Citrine +55,Square,125,Any,+55 Balance Flat Resistance
Sparkling Defense Citrine +54,Square,125,Any,+54 Balance Flat Resistance
Sparkling Defense Citrine +53,Square,125,Any,+53 Balance Flat Resistance
Sparkling Defense Amethyst +56,Square,125,Any,+56 Storm Flat Resistance
Sparkling Defense Amethyst +55,Square,125,Any,+55 Storm Flat Resistance
Sparkling Defense Amethyst +54,Square,125,Any,+54 Storm Flat Resistance
Sparkling Defense Amethyst +53,Square,125,Any,+53 Storm Flat Resistance
Sparkling Damage Sapphire +28,Circle,125,Any,+28 Ice Flat Damage
Sparkling Damage Sapphire +27,Circle,125,Any,+27 Ice Flat Damage
Sparkling Damage Ruby +28,Circle,125,Any,+28 Fire Flat Damage
Sparkling Damage Ruby +27,Circle,125,Any,+27 Fire Flat Damage
Sparkling Damage Peridot +28,Circle,125,Any,+28 Myth Flat Damage
Sparkling Damage Peridot +27,Circle,125,Any,+27 Myth Flat Damage
Sparkling Damage Opal +14,Circle,125,Any,+14 Global Flat Damage
Sparkling Damage Opal +12,Circle,125,Any,+12 Global Flat Damage
Sparkling Damage Onyx +28,Circle,125,Any,+28 Death Flat Damage
Sparkling Damage Onyx +27,Circle,125,Any,+27 Death Flat Damage
Sparkling Damage Jade +28,Circle,125,Any,+28 Life Flat Damage
Sparkling Damage Jade +27,Circle,125,Any,+27 Life Flat Damage
Sparkling Damage Hematite +56,Square,125,Any,+56 Shadow Flat Damage
Sparkling Damage Hematite +54,Circle,125,Any,+54 Shadow Flat Damage
Sparkling Damage Citrine +28,Circle,125,Any,+28 Balance Flat Damage
Sparkling Damage Citrine +27,Circle,125,Any,+27 Balance Flat Damage
Sparkling Damage Amethyst +28,Circle,125,Any,+28 Storm Flat Damage
Sparkling Damage Amethyst +27,Circle,125,Any,+27 Storm Flat Damage
Sparkling Critical Sapphire +18,Circle,125,Any,+18 Ice Critical Rating
Sparkling Critical Sapphire +17,Circle,125,Any,+17 Ice Critical Rating
Sparkling Critical Ruby +18,Circle,125,Any,+18 Fire Critical Rating
Sparkling Critical Ruby +17,Circle,125,Any,+17 Fire Critical Rating
Sparkling Critical Peridot +18,Circle,125,Any,+18 Myth Critical Rating
Sparkling Critical Peridot +17,Circle,125,Any,+17 Myth Critical Rating
Sparkling Critical Opal +9,Circle,125,Any,+9 Global Critical Rating
Sparkling Critical Onyx +18,Circle,125,Any,+18 Death Critical Rating
Sparkling Critical Onyx +17,Circle,125,Any,+17 Death Critical Rating
Sparkling Critical Jade +18,Circle,125,Any,+18 Life Critical Rating
Sparkling Critical Jade +17,Circle,125,Any,+17 Life Critical Rating
Sparkling Critical Hematite +18,Circle,125,Any,+18 Shadow Critical Rating
Sparkling Critical Hematite +17,Circle,125,Any,+17 Shadow Critical Rating
Sparkling Critical Citrine +18,Circle,125,Any,+18 Balance Critical Rating
Sparkling Critical Citrine +17,Circle,125,Any,+17 Balance Critical Rating
Sparkling Critical Amethyst +18,Circle,125,Any,+18 Storm Critical Rating
Sparkling Critical Amethyst +17,Circle,125,Any,+17 Storm Critical Rating
Sparkling Blocking Sapphire +18,Square,125,Any,+18 Ice Critical Block Rating
Sparkling Blocking Sapphire +17,Square,125,Any,+17 Ice Critical Block Rating
Sparkling Blocking Ruby +18,Square,125,Any,+18 Fire Critical Block Rating
Sparkling Blocking Ruby +17,Square,125,Any,+17 Fire Critical Block Rating
Sparkling Blocking Peridot +18,Square,125,Any,+18 Myth Critical Block Rating
Sparkling Blocking Peridot +17,Square,125,Any,+17 Myth Critical Block Rating
Sparkling Blocking Opal +9,Square,125,Any,+9 Global Critical Block Rating
Sparkling Blocking Onyx +18,Square,125,Any,+18 Death Critical Block Rating
Sparkling Blocking Onyx +17,Square,125,Any,+17 Death Critical Block Rating
Sparkling Blocking Jade +18,Square,125,Any,+18 Life Critical Block Rating
Sparkling Blocking Jade +17,Square,125,Any,+17 Life Critical Block Rating
Sparkling Blocking Hematite +18,Square,125,Any,+18 Shadow Critical Block Rating
Sparkling Blocking Hematite +17,Square,125,Any,+17 Shadow Critical Block Rating
Sparkling Blocking Citrine +18,Square,125,Any,+18 Balance Critical Block Rating
Sparkling Blocking Citrine +17,Square,125,Any,+17 Balance Critical Block Rating
Sparkling Blocking Amethyst +18,Square,125,Any,+18 Storm Critical Block Rating
Sparkling Blocking Amethyst +17,Square,125,Any,+17 Storm Critical Block Rating
Sparkling Accurate Sapphire +13%,Triangle,125,Any,+13 Ice Accuracy
Sparkling Accurate Ruby +13%,Triangle,125,Any,+13 Fire Accuracy
Sparkling Accurate Peridot +13%,Triangle,125,Any,+13 Myth Accuracy
Sparkling Accurate Onyx +13%,Triangle,125,Any,+13 Death Accuracy
Sparkling Accurate Jade +13%,Triangle,125,Any,+13 Life Accuracy
Sparkling Accurate Hematite +13%,Triangle,125,Any,+13 Shadow Accuracy
Sparkling Accurate Citrine +13%,Triangle,125,Any,+13 Balance Accuracy
Sparkling Accurate Amethyst +13%,Triangle,125,Any,+13 Storm Accuracy
Queen Calypso Amethyst,Triangle,125,Any,Gives 1 Queen Calypso Item Card
Ninja Piglets Citrine,Triangle,125,Any,Gives 1 Ninja Piglets Item Card
Luminous Weaver Jade,Triangle,125,Any,Gives 1 Luminous Weaver Item Card
Keeper of the Flame Peridot,Triangle,125,Any,Gives 1 Keeper of the Flame Item Card
Headless Horseman Onyx,Triangle,125,Any,Gives 1 Headless Horseman Item Card
Brimstone Revenant Ruby,Triangle,125,Any,Gives 1 Brimstone Revenant Item Card
Angry Snowpig Sapphire,Triangle,125,Any,Gives 1 Angry Snowpig Item Card
Stormspear Amethyst,Triangle,115,Any,Gives 1 Stormspear Item Card
Spirit Spear Citrine,Triangle,115,Any,Gives 1 Spirit Spear Item Card
Shiny PIP Hematite +2,Triangle,115,Any,+2 Shadow Pip Rating
Shiny Mending Opal +6%,Circle,115,Any,+6 Outgoing Healing
Shiny Mana Opal +48,Tear,115,Any,+48 Mana
Shiny Mana Opal +47,Tear,115,Any,+47 Mana
Shiny Mana Opal +46,Tear,115,Any,+46 Mana
Shiny Mana Opal +45,Tear,115,Any,+45 Mana
Shiny Health Opal +115,Tear,115,Any,+115 Health
Shiny Health Opal +114,Tear,115,Any,+114 Health
Shiny Health Opal +113,Tear,115,Any,+113 Health
Shiny Health Opal +112,Tear,115,Any,+112 Health
Shiny Health Opal +111,Tear,115,Any,+111 Health
Shiny Health Opal +110,Tear,115,Any,+110 Health
Shiny Health Opal +109,Tear,115,Any,+109 Health
Shiny Health Opal +108,Tear,115,Any,+108 Health
Shiny Health Opal +107,Tear,115,Any,+107 Health
Shiny Health Opal +106,Tear,115,Any,+106 Health
Shiny Healing Opal +6%,Square,115,Any,+6 Incoming Healing
Shiny Defense Sapphire +52,Square,115,Any,+52 Ice Flat Resistance
Shiny Defense Sapphire +51,Square,115,Any,+51 Ice Flat Resistance
Shiny Defense Sapphire +50,Square,115,Any,+50 Ice Flat Resistance
Shiny Defense Sapphire +49,Square,115,Any,+49 Ice Flat Resistance
Shiny Defense Ruby +52,Square,115,Any,+52 Fire Flat Resistance
Shiny Defense Ruby +51,Square,115,Any,+51 Fire Flat Resistance
Shiny Defense Ruby +50,Square,115,Any,+50 Fire Flat Resistance
Shiny Defense Ruby +49,Square,115,Any,+49 Fire Flat Resistance
Shiny Defense Peridot +52,Square,115,Any,+52 Myth Flat Resistance
Shiny Defense Peridot +51,Square,115,Any,+51 Myth Flat Resistance
Shiny Defense Peridot +50,Square,115,Any,+50 Myth Flat Resistance
Shiny Defense Peridot +49,Square,115,Any,+49 Myth Flat Resistance
Shiny Defense Opal +26,Square,115,Any,+26 Global Flat Resistance
Shiny Defense Opal +25,Square,115,Any,+25 Global Flat Resistance
Shiny Defense Onyx +52,Square,115,Any,+52 Death Flat Resistance
Shiny Defense Onyx +51,Square,115,Any,+51 Death Flat Resistance
Shiny Defense Onyx +50,Square,115,Any,+50 Death Flat Resistance
Shiny Defense Onyx +49,Square,115,Any,+49 Death Flat Resistance
Shiny Defense Jade +52,Square,115,Any,+52 Life Flat Resistance
Shiny Defense Jade +51,Square,115,Any,+51 Life Flat Resistance
Shiny Defense Jade +50,Square,115,Any,+50 Life Flat Resistance
Shiny Defense Jade +49,Square,115,Any,+49 Life Flat Resistance
Shiny Defense Hematite +52,Square,115,Any,+52 Shadow Flat Resistance
Shiny Defense Hematite +51,Square,115,Any,+51 Shadow Flat Resistance
Shiny Defense Hematite +50,Square,115,Any,+50 Shadow Flat Resistance
Shiny Defense Hematite +49,Square,115,Any,+49 Shadow Flat Resistance
Shiny Defense Citrine +52,Square,115,Any,+52 Balance Flat Resistance
Shiny Defense Citrine +51,Square,115,Any,+51 Balance Flat Resistance
Shiny Defense Citrine +50,Square,115,Any,+50 Balance Flat Resistance
Shiny Defense Citrine +49,Square,115,Any,+49 Balance Flat Resistance
Shiny Defense Amethyst +52,Square,115,Any,+52 Storm Flat Resistance
Shiny Defense Amethyst +51,Square,115,Any,+51 Storm Flat Resistance
Shiny Defense Amethyst +50,Square,115,Any,+50 Storm Flat Resistance
Shiny Defense Amethyst +49,Square,115,Any,+49 Storm Flat Resistance
Shiny Damage Sapphire +26,Circle,115,Any,+26 Ice Flat Damage
Shiny Damage Sapphire +25,Circle,115,Any,+25 Ice Flat Damage
Shiny Damage Ruby +26,Circle,115,Any,+26 Fire Flat Damage
Shiny Damage Ruby +25,Circle,115,Any,+25 Fire Flat Damage
Shiny Damage Peridot +26,Circle,115,Any,+26 Myth Flat Damage
Shiny Damage Peridot +25,Circle,115,Any,+25 Myth Flat Damage
Shiny Damage Opal +13,Circle,115,Any,+13 Global Flat Damage
Shiny Damage Opal +11,Circle,115,Any,+11 Global Flat Damage
Shiny Damage Onyx +26,Circle,115,Any,+26 Death Flat Damage
Shiny Damage Onyx +25,Circle,115,Any,+25 Death Flat Damage
Shiny Damage Jade +26,Circle,115,Any,+26 Life Flat Damage
Shiny Damage Jade +25,Circle,115,Any,+25 Life Flat Damage
Shiny Damage Hematite +52,Circle,115,Any,+52 Shadow Flat Damage
Shiny Damage Hematite +50,Circle,115,Any,+50 Shadow Flat Damage
Shiny Damage Citrine +26,Circle,115,Any,+26 Balance Flat Damage
Shiny Damage Citrine +25,Circle,115,Any,+25 Balance Flat Damage
Shiny Damage Amethyst +26,Circle,115,Any,+26 Storm Flat Damage
Shiny Damage Amethyst +25,Circle,115,Any,+25 Storm Flat Damage
Shiny Critical Sapphire +16,Circle,115,Any,+16 Ice Critical Rating
Shiny Critical Sapphire +15,Circle,115,Any,+15 Ice Critical Rating
Shiny Critical Ruby +16,Circle,115,Any,+16 Fire Critical Rating
Shiny Critical Ruby +15,Circle,115,Any,+15 Fire Critical Rating
Shiny Critical Peridot +16,Circle,115,Any,+16 Myth Critical Rating
Shiny Critical Peridot +15,Circle,115,Any,+15 Myth Critical Rating
Shiny Critical Opal +8,Circle,115,Any,+8 Global Critical Rating
Shiny Critical Onyx +16,Circle,115,Any,+16 Death Critical Rating
Shiny Critical Onyx +15,Circle,115,Any,+15 Death Critical Rating
Shiny Critical Jade +16,Circle,115,Any,+16 Life Critical Rating
Shiny Critical Jade +15,Circle,115,Any,+15 Life Critical Rating
Shiny Critical Hematite +16,Circle,115,Any,+16 Shadow Critical Rating
Shiny Critical Hematite +15,Circle,115,Any,+15 Shadow Critical Rating
Shiny Critical Citrine +16,Circle,115,Any,+16 Balance Critical Rating
Shiny Critical Citrine +15,Circle,115,Any,+15 Balance Critical Rating
Shiny Critical Amethyst +16,Circle,115,Any,+16 Storm Critical Rating
Shiny Critical Amethyst +15,Circle,115,Any,+15 Storm Critical Rating
Shiny Blocking Sapphire +16,Square,115,Any,+16 Ice Critical Block Rating
Shiny Blocking Sapphire +15,Square,115,Any,+16 Ice Critical Block Rating
Shiny Blocking Ruby +16,Square,115,Any,+16 Fire Critical Block Rating
Shiny Blocking Ruby +15,Square,115,Any,+15 Fire Critical Block Rating
Shiny Blocking Peridot +16,Square,115,Any,+16 Myth Critical Block Rating
Shiny Blocking Peridot +15,Square,115,Any,+15 Myth Critical Block Rating
Shiny Blocking Opal +8,Square,115,Any,+8 Global Critical Block Rating
Shiny Blocking Onyx +16,Square,115,Any,+16 Death Critical Block Rating
Shiny Blocking Onyx +15,Square,115,Any,+15 Death Critical Block Rating
Shiny Blocking Jade +16,Square,115,Any,+16 Life Critical Block Rating
Shiny Blocking Jade +15,Square,115,Any,+15 Life Critical Block Rating
Shiny Blocking Hematite +16,Square,115,Any,+16 Shadow Critical Block Rating
Shiny Blocking Hematite +15,Square,115,Any,+15 Shadow Critical Block Rating
Shiny Blocking Citrine +16,Square,115,Any,+16 Balance Critical Block Rating
Shiny Blocking Citrine +15,Square,115,Any,+15 Balance Critical Block Rating
Shiny Blocking Amethyst +16,Square,115,Any,+16 Storm Critical Block Rating
Shiny Blocking Amethyst +15,Square,115,Any,+15 Storm Critical Block Rating
Shiny Accurate Sapphire +12%,Triangle,115,Any,+12 Ice Accuracy
Shiny Accurate Ruby +12%,Triangle,115,Any,+12 Fire Accuracy
Shiny Accurate Peridot +12%,Triangle,115,Any,+12 Myth Accuracy
Shiny Accurate Opal +6%,Triangle,115,Any,+6 Global Accuracy
Shiny Accurate Onyx +12%,Triangle,115,Any,+12 Death Accuracy
Shiny Accurate Jade +12%,Triangle,115,Any,+12 Life Accuracy
Shiny Accurate Hematite +12%,Triangle,115,Any,+12 Shadow Accuracy
Shiny Accurate Citrine +12%,Triangle,115,Any,+12 Balance Accuracy
Shiny Accurate Amethyst +12%,Triangle,115,Any,+12 Storm Accuracy
Renew Opal,Triangle,115,Any,Gives 1 Renew Item Card
Radical Opal,Triangle,115,Any,Gives 1 Radical Item Card
Mythspear Peridot,Triangle,115,Any,Gives 1 Mythspear Item Card
Magnify Opal,Triangle,115,Any,Gives 1 Magnify Item Card
Lifespear Jade,Triangle,115,Any,Gives 1 Lifespear Item Card
Icespear Sapphire,Triangle,115,Any,Gives 1 Icespear Item Card
Flawless Opal,Triangle,115,Any,Gives 1 Flawless Item Card
Firespear Ruby,Triangle,115,Any,Gives 1 Firespear Item Card
Epic Opal,Triangle,115,Any,Gives 1 Epic Item Card
Elemental Spear Citrine,Triangle,115,Any,Gives 1 Elemental Spear Item Card
Deathspear Onyx,Triangle,115,Any,Gives 1 Deathspear Item Card
Brace Opal,Triangle,115,Any,Gives 1 Brace Item Card
Adapt Opal,Triangle,115,Any,Gives 1 Adapt Item Card
Storm Brandon Amethyst,Triangle,105,Any,Gives 1 Storm Brandon Item Card
Primordial Opal,Triangle,105,Any,Gives 1 Primordial Item Card
Myth Brandon Peridot,Triangle,105,Any,Gives 1 Myth Brandon Item Card
Lustrous PIP Opal +10%,Triangle,105,Any,+10 Power Pip Chance
Lustrous PIP Hematite +1,Triangle,105,Any,+1 Shadow Pip Rating
Lustrous Mana Opal +44,Tear,105,Any,+44 Mana
Lustrous Mana Opal +43,Tear,105,Any,+43 Mana
Lustrous Mana Opal +42,Tear,105,Any,+42 Mana
Lustrous Mana Opal +41,Tear,105,Any,+41 Mana
Lustrous Health Opal +99,Tear,105,Any,+99 Health
Lustrous Health Opal +98,Tear,105,Any,+98 Health
Lustrous Health Opal +97,Tear,105,Any,+97 Health
Lustrous Health Opal +96,Tear,105,Any,+96 Health
Lustrous Health Opal +105,Tear,105,Any,+105 Health
Lustrous Health Opal +104,Tear,105,Any,+104 Health
Lustrous Health Opal +103,Tear,105,Any,+103 Health
Lustrous Health Opal +102,Tear,105,Any,+102 Health
Lustrous Health Opal +101,Tear,105,Any,+101 Health
Lustrous Health Opal +100,Tear,105,Any,+100 Health
Lustrous Defense Sapphire +48,Square,105,Any,+48 Ice Flat Resistance
Lustrous Defense Sapphire +47,Square,105,Any,+47 Ice Flat Resistance
Lustrous Defense Sapphire +46,Square,105,Any,+46 Ice Flat Resistance
Lustrous Defense Sapphire +45,Square,105,Any,+45 Ice Flat Resistance
Lustrous Defense Ruby +48,Square,105,Any,+48 Fire Flat Resistance
Lustrous Defense Ruby +47,Square,105,Any,+47 Fire Flat Resistance
Lustrous Defense Ruby +46,Square,105,Any,+46 Fire Flat Resistance
Lustrous Defense Ruby +45,Square,105,Any,+45 Fire Flat Resistance
Lustrous Defense Peridot +48,Square,105,Any,+48 Myth Flat Resistance
Lustrous Defense Peridot +47,Square,105,Any,+47 Myth Flat Resistance
Lustrous Defense Peridot +46,Square,105,Any,+46 Myth Flat Resistance
Lustrous Defense Peridot +45,Square,105,Any,+45 Myth Flat Resistance
Lustrous Defense Opal +24,Square,105,Any,+24 Global Flat Resistance
Lustrous Defense Onyx +48,Square,105,Any,+48 Death Flat Resistance
Lustrous Defense Onyx +47,Square,105,Any,+47 Death Flat Resistance
Lustrous Defense Onyx +46,Square,105,Any,+46 Death Flat Resistance
Lustrous Defense Onyx +45,Square,105,Any,+45 Death Flat Resistance
Lustrous Defense Jade +48,Square,105,Any,+48 Life Flat Resistance
Lustrous Defense Jade +47,Square,105,Any,+47 Life Flat Resistance
Lustrous Defense Jade +46,Square,105,Any,+46 Life Flat Resistance
Lustrous Defense Jade +45,Square,105,Any,+45 Life Flat Resistance
Lustrous Defense Hematite +48,Square,105,Any,+48 Shadow Flat Resistance
Lustrous Defense Hematite +47,Square,105,Any,+47 Shadow Flat Resistance
Lustrous Defense Hematite +46,Square,105,Any,+46 Shadow Flat Resistance
Lustrous Defense Hematite +45,Square,105,Any,+45 Shadow Flat Resistance
Lustrous Defense Citrine +48,Square,105,Any,+48 Balance Flat Resistance
Lustrous Defense Citrine +47,Square,105,Any,+47 Balance Flat Resistance
Lustrous Defense Citrine +46,Square,105,Any,+46 Balance Flat Resistance
Lustrous Defense Citrine +45,Square,105,Any,+45 Balance Flat Resistance
Lustrous Defense Amethyst +48,Square,105,Any,+48 Storm Flat Resistance
Lustrous Defense Amethyst +47,Square,105,Any,+47 Storm Flat Resistance
Lustrous Defense Amethyst +46,Square,105,Any,+46 Storm Flat Resistance
Lustrous Defense Amethyst +45,Square,105,Any,+45 Storm Flat Resistance
Lustrous Damage Sapphire +24,Circle,105,Any,+24 Ice Flat Damage
Lustrous Damage Sapphire +23,Circle,105,Any,+23 Ice Flat Damage
Lustrous Damage Ruby +24,Circle,105,Any,+24 Fire Flat Damage
Lustrous Damage Ruby +23,Circle,105,Any,+23 Fire Flat Damage
Lustrous Damage Peridot +24,Circle,105,Any,+24 Myth Flat Damage
Lustrous Damage Peridot +23,Circle,105,Any,+23 Myth Flat Damage
Lustrous Damage Opal +12,Circle,105,Any,+12 Global Flat Damage
Lustrous Damage Opal +10,Circle,105,Any,+10 Global Flat Damage
Lustrous Damage Onyx +24,Circle,105,Any,+24 Death Flat Damage
Lustrous Damage Onyx +23,Circle,105,Any,+23 Death Flat Damage
Lustrous Damage Jade +24,Circle,105,Any,+24 Life Flat Damage
