Name,Level,School,Max Health,Global Damage,Fire Damage,Ice Damage,Storm Damage,Myth Damage,Life Damage,Death Damage,Balance Damage,Shadow Damage,Global Flat Damage,Fire Flat Damage,Ice Flat Damage,Storm Flat Damage,Myth Flat Damage,Life Flat Damage,Death Flat Damage,Balance Flat Damage,Shadow Flat Damage,Global Resistance,Fire Resistance,Ice Resistance,Storm Resistance,Myth Resistance,Life Resistance,Death Resistance,Balance Resistance,Shadow Resistance,Global Flat Resistance,Fire Flat Resistance,Ice Flat Resistance,Storm Flat Resistance,Myth Flat Resistance,Life Flat Resistance,Death Flat Resistance,Balance Flat Resistance,Shadow Flat Resistance,Global Accuracy,Fire Accuracy,Ice Accuracy,Storm Accuracy,Myth Accuracy,Life Accuracy,Death Accuracy,Balance Accuracy,Shadow Accuracy,Global Critical Rating,Fire Critical Rating,Ice Critical Rating,Storm Critical Rating,Myth Critical Rating,Life Critical Rating,Death Critical Rating,Balance Critical Rating,Shadow Critical Rating,Global Critical Block Rating,Fire Critical Block Rating,Ice Critical Block Rating,Storm Critical Block Rating,Myth Critical Block Rating,Life Critical Block Rating,Death Critical Block Rating,Balance Critical Block Rating,Shadow Critical Block Rating,Global Armor Piercing,Fire Armor Piercing,Ice Armor Piercing,Storm Armor Piercing,Myth Armor Piercing,Life Armor Piercing,Death Armor Piercing,Balance Armor Piercing,Shadow Armor Piercing,Stun Resistance,Incoming Healing,Outgoing Healing,Global Pip Conversion Rating,Fire Pip Conversion Rating,Ice Pip Conversion Rating,Storm Pip Conversion Rating,Myth Pip Conversion Rating,Life Pip Conversion Rating,Death Pip Conversion Rating,Balance Pip Conversion Rating,Shadow Pip Conversion Rating,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Enchant Damage,Sword Pins,Shield Pins,Power Pins,Source,Gear Set,Usable In,Pins Used
Burrower's Divination Hood (Level 160+),160,Storm,666,0,0,0,32,0,42,0,0,0,0,0,0,0,0,0,0,0,0,9,20,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,214,0,0,0,84,84,84,84,84,84,84,84,84,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,2,1,0,"Gold Key, Crowns",No Gear Set,Everything,(SwdDis)(SwdDis)(ShdRes)
Delightful Sciencer Cap,140,Storm,680,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,315,0,0,0,Crafting,No Gear Set,Everything,(No Pins)
Dragoon's Shocking Helm,130,Storm,761,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,"Crafting, Stone Key",Dragoon's Shocking Set,Everything,(No Pins)
Dworgyn's Havoc Hood (Level 150+),150,Storm,782,0,0,18,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,155,0,0,83,83,83,83,83,83,83,83,83,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,Crowns,No Gear Set,Everything,(No Pins)
Eternal Fractal Helm,160,Storm,666,0,0,0,28,0,42,0,0,0,0,0,0,0,0,0,0,0,0,9,20,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,141,0,214,0,0,0,84,84,84,84,84,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,2,1,0,Crafting,No Gear Set,Everything,(SwdDis)(SwdDis)(ShdRes)
Fraught Hardback Helmet (Level 170+),170,Storm,923,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,183,0,0,0,0,0,88,88,88,88,88,88,88,88,88,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,"Housing Gauntlet, Crowns",No Gear Set,Everything,(No Pins)
Lydia's Frigid Hat (Level 150+),150,Storm,948,0,0,30,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,91,91,91,91,91,91,91,91,91,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,Crowns,No Gear Set,Everything,(No Pins)
Malevolent Storm Cap,150,Storm,721,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Malistaire's Cowl of Flux,100,Storm,336,0,0,0,20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Shocking August Sage Cap (Level 170+),170,Storm,739,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,209,0,0,0,0,0,66,66,66,66,66,66,66,66,66,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,2,0,1,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Wild Skyfarer's Douli Hat (Level 160+),160,Storm,500,0,0,0,32,0,44,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,165,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,0,2,0,1,Crowns,No Gear Set,Everything,(SwdDis)(SwdDis)
